signal_id,symbol,target_signal_dt,confidence,Open_t-10,Close_t-10,High_t-10,Low_t-10,Volume_t-10,Open_t-9,Close_t-9,High_t-9,Low_t-9,Volume_t-9,Open_t-8,Close_t-8,High_t-8,Low_t-8,Volume_t-8,Open_t-7,Close_t-7,High_t-7,Low_t-7,Volume_t-7,Open_t-6,Close_t-6,High_t-6,Low_t-6,Volume_t-6,Open_t-5,Close_t-5,High_t-5,Low_t-5,Volume_t-5,Open_t-4,Close_t-4,High_t-4,Low_t-4,Volume_t-4,Open_t-3,Close_t-3,High_t-3,Low_t-3,Volume_t-3,Open_t-2,Close_t-2,High_t-2,Low_t-2,Volume_t-2,Open_t-1,Close_t-1,High_t-1,Low_t-1,Volume_t-1
TATASTEEL_20260417_0915,TATASTEEL,2026-04-17 09:15:00,high,210.67999267578125,210.44000244140625,210.6999969482422,210.4199981689453,566472.0,210.5,210.67999267578125,210.6999969482422,210.3000030517578,460358.0,210.6699981689453,211.0500030517578,211.1999969482422,210.3699951171875,793367.0,211.00999450683594,211.52999877929688,211.60000610351562,210.97000122070312,773820.0,211.52999877929688,211.8300018310547,211.89999389648438,211.4600067138672,564487.0,211.8300018310547,211.75,212.13999938964844,211.5,1139905.0,211.74000549316406,211.7100067138672,211.83999633789062,211.3699951171875,529011.0,211.63999938964844,211.83999633789062,212.07000732421875,211.63999938964844,573658.0,211.83999633789062,212.0399932861328,212.1999969482422,211.77999877929688,929499.0,212.1699981689453,212.25,212.35000610351562,212.0500030517578,895694.0
HAVELLS_20260417_1015,HAVELLS,2026-04-17 10:15:00,medium,1301.0999755859375,1302.0,1304.0999755859375,1301.0999755859375,10418.0,1302.0,1303.5,1304.199951171875,1301.5,8283.0,1303.5,1304.199951171875,1305.0,1302.0,12397.0,1304.199951171875,1303.699951171875,1304.5999755859375,1302.0,12801.0,1303.5999755859375,1302.9000244140625,1304.699951171875,1301.199951171875,13987.0,1302.9000244140625,1304.699951171875,1305.0,1302.300048828125,10973.0,1304.699951171875,1307.5,1307.699951171875,1303.0,17872.0,1307.5,1306.800048828125,1310.0999755859375,1306.5,70882.0,1307.300048828125,1306.9000244140625,1309.0,1303.0999755859375,65959.0,1306.0,1306.0,1307.9000244140625,1304.0,82005.0
ADANIENSOL_20260417_1015,ADANIENSOL,2026-04-17 10:15:00,medium,1228.949951171875,1230.25,1230.550048828125,1228.5999755859375,11835.0,1230.25,1236.8499755859375,1236.949951171875,1230.25,31955.0,1236.3499755859375,1252.75,1255.1500244140625,1236.3499755859375,244926.0,1253.1500244140625,1256.199951171875,1257.0,1251.3499755859375,176614.0,1256.1500244140625,1255.3499755859375,1259.699951171875,1249.4000244140625,691978.0,1255.75,1258.8499755859375,1261.8499755859375,1252.699951171875,707234.0,1258.5,1259.199951171875,1260.0,1254.25,183296.0,1259.5999755859375,1257.800048828125,1262.0,1253.9000244140625,395583.0,1259.0999755859375,1259.4000244140625,1262.0999755859375,1253.6500244140625,212941.0,1259.9000244140625,1259.800048828125,1266.0,1249.949951171875,331963.0
TATASTEEL_20260417_0915,TATASTEEL,2026-04-17 09:15:00,high,210.67999267578125,210.44000244140625,210.6999969482422,210.4199981689453,566472.0,210.5,210.67999267578125,210.6999969482422,210.3000030517578,460358.0,210.6699981689453,211.0500030517578,211.1999969482422,210.3699951171875,793367.0,211.00999450683594,211.52999877929688,211.60000610351562,210.97000122070312,773820.0,211.52999877929688,211.8300018310547,211.89999389648438,211.4600067138672,564487.0,211.8300018310547,211.75,212.13999938964844,211.5,1139905.0,211.74000549316406,211.7100067138672,211.83999633789062,211.3699951171875,529011.0,211.63999938964844,211.83999633789062,212.07000732421875,211.63999938964844,573658.0,211.83999633789062,212.0399932861328,212.1999969482422,211.77999877929688,929499.0,212.1699981689453,212.25,212.35000610351562,212.0500030517578,895694.0
HAVELLS_20260417_0915,HAVELLS,2026-04-17 09:15:00,high,1307.199951171875,1303.5,1307.5999755859375,1302.800048828125,12533.0,1303.5,1300.699951171875,1303.9000244140625,1300.0,15956.0,1301.0999755859375,1302.0,1304.0999755859375,1301.0999755859375,10418.0,1302.0,1303.5,1304.199951171875,1301.5,8283.0,1303.5,1304.199951171875,1305.0,1302.0,12397.0,1304.199951171875,1303.699951171875,1304.5999755859375,1302.0,12801.0,1303.5999755859375,1302.9000244140625,1304.699951171875,1301.199951171875,13987.0,1302.9000244140625,1304.699951171875,1305.0,1302.300048828125,10973.0,1304.699951171875,1307.5,1307.699951171875,1303.0,17872.0,1307.5,1306.800048828125,1310.0999755859375,1306.5,70882.0
POLYCAB_20260417_1030,POLYCAB,2026-04-17 10:30:00,high,8131.5,8128.0,8137.5,8123.5,13419.0,8129.5,8139.5,8146.0,8126.5,10100.0,8141.0,8132.0,8141.0,8125.0,7773.0,8131.5,8125.0,8135.5,8120.0,8075.0,8123.5,8135.5,8148.0,8119.0,12733.0,8133.0,8124.0,8140.0,8124.0,9563.0,8124.0,8174.0,8176.0,8124.0,14036.0,8171.5,8170.0,8177.0,8167.0,23128.0,8169.0,8181.0,8187.0,8152.0,68534.0,8179.5,8191.0,8198.5,8179.0,78425.0
DLF_20260417_0915,DLF,2026-04-17 09:15:00,medium,596.0,595.6500244140625,596.5999755859375,595.4000244140625,46102.0,595.5,596.0,596.4000244140625,595.4000244140625,43295.0,596.0,597.0999755859375,597.25,595.9500122070312,48015.0,597.0999755859375,600.0,600.75,596.9500122070312,324659.0,600.0999755859375,599.0,601.5999755859375,599.0,202174.0,599.0,600.0999755859375,601.2000122070312,596.25,516268.0,600.2999877929688,602.0999755859375,604.4000244140625,600.0,473020.0,602.0999755859375,601.0,602.5,600.6500244140625,146594.0,600.9500122070312,603.9500122070312,603.9500122070312,600.3499755859375,149153.0,603.9500122070312,603.0499877929688,604.2999877929688,603.0499877929688,124037.0
ADANIENSOL_20260417_1015,ADANIENSOL,2026-04-17 10:15:00,high,1228.949951171875,1230.25,1230.550048828125,1228.5999755859375,11835.0,1230.25,1236.8499755859375,1236.949951171875,1230.25,31955.0,1236.3499755859375,1252.75,1255.1500244140625,1236.3499755859375,244926.0,1253.1500244140625,1256.199951171875,1257.0,1251.3499755859375,176614.0,1256.1500244140625,1255.3499755859375,1259.699951171875,1249.4000244140625,691978.0,1255.75,1258.8499755859375,1261.8499755859375,1252.699951171875,707234.0,1258.5,1259.199951171875,1260.0,1254.25,183296.0,1259.5999755859375,1257.800048828125,1262.0,1253.9000244140625,395583.0,1259.0999755859375,1259.4000244140625,1262.0999755859375,1253.6500244140625,212941.0,1259.9000244140625,1259.800048828125,1266.0,1249.949951171875,331963.0
TATASTEEL_20260417_0915,TATASTEEL,2026-04-17 09:15:00,high,210.67999267578125,210.44000244140625,210.6999969482422,210.4199981689453,566472.0,210.5,210.67999267578125,210.6999969482422,210.3000030517578,460358.0,210.6699981689453,211.0500030517578,211.1999969482422,210.3699951171875,793367.0,211.00999450683594,211.52999877929688,211.60000610351562,210.97000122070312,773820.0,211.52999877929688,211.8300018310547,211.89999389648438,211.4600067138672,564487.0,211.8300018310547,211.75,212.13999938964844,211.5,1139905.0,211.74000549316406,211.7100067138672,211.83999633789062,211.3699951171875,529011.0,211.63999938964844,211.83999633789062,212.07000732421875,211.63999938964844,573658.0,211.83999633789062,212.0399932861328,212.1999969482422,211.77999877929688,929499.0,212.1699981689453,212.25,212.35000610351562,212.0500030517578,895694.0
HAVELLS_20260417_1015,HAVELLS,2026-04-17 10:15:00,medium,1301.0999755859375,1302.0,1304.0999755859375,1301.0999755859375,10418.0,1302.0,1303.5,1304.199951171875,1301.5,8283.0,1303.5,1304.199951171875,1305.0,1302.0,12397.0,1304.199951171875,1303.699951171875,1304.5999755859375,1302.0,12801.0,1303.5999755859375,1302.9000244140625,1304.699951171875,1301.199951171875,13987.0,1302.9000244140625,1304.699951171875,1305.0,1302.300048828125,10973.0,1304.699951171875,1307.5,1307.699951171875,1303.0,17872.0,1307.5,1306.800048828125,1310.0999755859375,1306.5,70882.0,1307.300048828125,1306.9000244140625,1309.0,1303.0999755859375,65959.0,1306.0,1306.0,1307.9000244140625,1304.0,82005.0
